,loinc_num,long_common_name,component,system,property,qname,f_component_match,f_system_match,f_property_match,f_long_name_match,label,stage1_prob,stage1_logit
32,1971-1,Bilirubin.indirect [Mass/volume] in Serum or Plasma,Bilirubin.non-glucuronidated,Ser/Plas,MCnc,glucose in blood,0,0,1,0,0,0.08675331627378653,-2.3539373883445744
33,26484-6,Monocytes [#/volume] in Blood,Monocytes,Bld,NCnc,glucose in blood,0,1,0,1,0,0.13410504785994026,-1.8651401667417038
34,18865-6,Ampicillin+Sulbactam [Susceptibility],Ampicillin+Sulbactam,Isolate,Susc,glucose in blood,0,0,0,0,0,0.04408013700809949,-3.076664811206528
35,882-1,ABO & Rh group [Type] in Blood,ABO+Rh group,Bld,Type,glucose in blood,0,1,0,1,0,0.13410504785994026,-1.8651401667417038
36,1250-0,Major crossmatch [interpretation],Major crossmatch,Ser/Plas,Imp,glucose in blood,0,0,0,0,0,0.04408013700809949,-3.076664811206528
37,883-9,ABO group [Type] in Blood,ABO group,Bld,Type,glucose in blood,0,1,0,1,0,0.13410504785994026,-1.8651401667417038
38,2132-9,Cobalamin (Vitamin B12) [Mass/volume] in Serum,Cobalamins,Ser,MCnc,glucose in blood,0,0,1,0,0,0.08675331627378653,-2.3539373883445744
39,31100-1,Hematocrit [Volume Fraction] of Blood by Impedance,Hematocrit,Bld,VFr,glucose in blood,0,1,0,1,0,0.13410504785994026,-1.8651401667417038
40,6768-6,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,Alkaline phosphatase,Ser/Plas,CCnc,glucose in blood,0,0,0,0,0,0.04408013700809949,-3.076664811206528
41,2069-3,Chloride [Moles/volume] in Blood,Chloride,Bld,SCnc,glucose in blood,0,1,1,1,0,0.24187765376836487,-1.1424127438797502
42,3082-5,Tyrosine aminotransferase [Mass/volume] in Plasma,Tyrosine aminotransferase,Plas,MCnc,glucose in blood,0,0,1,0,0,0.08675331627378653,-2.3539373883445744
43,30522-7,C reactive protein [Mass/volume] in Serum or Plasma by High sensitivity method,C reactive protein,Ser/Plas,MCnc,glucose in blood,0,0,1,0,0,0.08675331627378653,-2.3539373883445744
44,33870-7,Bilirubin.total [Presence] in Unspecified specimen,Bilirubin,XXX,PrThr,glucose in blood,0,0,0,0,0,0.04408013700809949,-3.076664811206528
45,20442-0,Hepatitis B virus DNA [#/volume] (viral load) in Serum by Probe with signal amplification,Hepatitis B virus DNA,Ser,NCnc,glucose in blood,0,0,0,0,0,0.04408013700809949,-3.076664811206528
46,2111-3,Choriogonadotropin.beta subunit [Moles/volume] in Serum or Plasma,Choriogonadotropin.beta subunit,Ser/Plas,SCnc,glucose in blood,0,0,1,0,0,0.08675331627378653,-2.3539373883445744
47,14578-9,ABO group [Type] in Blood from Blood product unit,ABO group,Bld^BPU,Type,glucose in blood,0,1,0,1,0,0.13410504785994026,-1.8651401667417038
48,18955-5,Nitrofurantoin [Susceptibility],Nitrofurantoin,Isolate,Susc,glucose in blood,0,0,0,0,0,0.04408013700809949,-3.076664811206528
49,2039-6,Carcinoembryonic Ag [Mass/volume] in Serum or Plasma,Carcinoembryonic Ag,Ser/Plas,MCnc,glucose in blood,0,0,1,0,0,0.08675331627378653,-2.3539373883445744
50,933-2,Blood product type,Blood product type,^BPU,Type,glucose in blood,0,0,0,1,0,0.028993607949855536,-3.511257661056342
51,19000-9,Vancomycin [Susceptibility],Vancomycin,Isolate,Susc,glucose in blood,0,0,0,0,0,0.04408013700809949,-3.076664811206528
52,26478-8,Lymphocytes/100 leukocytes in Blood,Lymphocytes/100 leukocytes,Bld,NFr,glucose in blood,0,1,0,1,0,0.13410504785994026,-1.8651401667417038
53,19080-1,Choriogonadotropin [Units/volume] in Serum or Plasma,Choriogonadotropin,Ser/Plas,ACnc,glucose in blood,0,0,1,0,0,0.08675331627378653,-2.3539373883445744
54,1995-0,Calcium.ionized [Moles/volume] in Serum or Plasma,Calcium.ionized,Ser/Plas,SCnc,glucose in blood,0,0,1,0,0,0.08675331627378653,-2.3539373883445744
55,35184-1,Fasting glucose [Mass or Moles/volume] in Serum or Plasma,Glucose^post CFst,Ser/Plas,MSCnc,glucose in blood,1,0,1,1,0,0.6874906161927554,0.7884136833645996
